Партія,ТВО,№Р,Кандидат,Голосів,Голосів словами,%,Обраний?
Батьківщина,8,1,Шлапак Алла Василівна,821,вісімсот двадцять один,"3,04",Міський список
УДАР,7,4,Чорній Богдан Петрович,2207,дві тисячі двісті сім,"3,03",У ТВО
Єдність Олександра Омельченка,1,5,Іванченко Вадим Анатолійович,1728,одна тисяча сімсот двадцять вісім,"3,01",У ТВО
Єдність Олександра Омельченка,5,1,Бровченко Костянтин Михайлович,1293,одна тисяча двісті дев'яносто три,"3,01",Не пройшов
Європейська солідарність,4,1,Конобас Максим Петрович,1383,одна тисяча триста вісімдесят три,"2,96",Не пройшов
Батьківщина,10,1,Меліхова Тетяна Іванівна,1271,одна тисяча двісті сімдесят один,"2,96",Не пройшов
Голос,1,1,Козак Тарас Мирославович,1677,одна тисяча шістсот сімдесят сім,"2,93",У ТВО
Слуга народу,8,1,Іщенко Ганна Михайлівна,787,сімсот вісімдесят сім,"2,92",Не пройшов
Голос,8,3,Манойленко Наталія Вікторівна,777,сімсот сімдесят сім,"2,88",Не пройшов
УДАР,5,2,Харченко Олександр Володимирович,1232,одна тисяча двісті тридцять два,"2,87",Не пройшов
Єдність Олександра Омельченка,2,2,Сулига Юрій Анатолійович,2712,дві тисячі сімсот дванадцять,"2,83",У ТВО
Єдність Олександра Омельченка,3,2,Гайдуков Віктор Володимирович,1304,одна тисяча триста чотири,"2,83",Не пройшов
УДАР,6,3,Росляков Віталій Валерійович,1207,одна тисяча двісті сім,"2,83",Не пройшов
Батьківщина,10,3,Бондаренко Володимир Дмитрович,1196,одна тисяча сто дев'яносто шість,"2,79",Не пройшов
УДАР,7,2,Шевчук Олексій Анатолійович,2017,дві тисячі сімнадцять,"2,77",Не пройшов
ОПЗЖ,2,1,Наконечний Михайло Васильович,2643,дві тисячі шістсот сорок три,"2,76",У ТВО
Єдність Олександра Омельченка,11,1,Товмасян Дар’я Ігорівна,1145,одна тисяча сто сорок п'ять,"2,75",Не пройшов
УДАР,12,7,Костюшко Олег Петрович,2019,дві тисячі дев'ятнадцять,"2,72",У ТВО
ОПЗЖ,11,1,Боднарук Віталій Анатолійович,1123,одна тисяча сто двадцять три,"2,7",Не пройшов
УДАР,5,6,Левітас Геннадій Григорович,1155,одна тисяча сто п'ятдесят п'ять,"2,69",Не пройшов
Перемога Пальчевського,6,2,Тесленко Павло Петрович,1147,одна тисяча сто сорок сім,"2,69",Партія не пройшла
Єдність Олександра Омельченка,12,1,Ярошенко Роман Валерійович,1992,одна тисяча дев'ятсот дев'яносто два,"2,68",У ТВО
Перемога Пальчевського,12,2,Андрєєв Андрій Сергійович,1961,одна тисяча дев'ятсот шістдесят один,"2,64",Партія не пройшла
УДАР,10,3,Дубовецький Юрій Олександрович,1127,одна тисяча сто двадцять сім,"2,63",Не пройшов
Батьківщина,7,2,Старовойт Володимир Миколайович,1856,одна тисяча вісімсот п'ятдесят шість,"2,55",Не пройшов
Свобода,12,1,Назаренко Володимир Едуардович,1885,одна тисяча вісімсот вісімдесят п'ять,"2,54",Партія не пройшла
УДАР,9,6,Шевченко Олександр Миколайович,1168,одна тисяча сто шістдесят вісім,"2,49",Не пройшов
Перемога Пальчевського,13,1,Антонова Олена Юріївна,1386,одна тисяча триста вісімдесят шість,"2,48",Партія не пройшла
Перемога Пальчевського,7,1,Костенко Людмила Василівна,1797,одна тисяча сімсот дев'яносто сім,"2,47",Партія не пройшла
ОПЗЖ,4,1,Северин Сергій Григорович,1156,одна тисяча сто п'ятдесят шість,"2,47",Не пройшов
Європейська солідарність,4,2,Лопушанський Андре Андрійович,1155,одна тисяча сто п'ятдесят п'ять,"2,47",Не пройшов
Європейська солідарність,10,3,Левін Володимир Ілліч,1048,одна тисяча сорок вісім,"2,44",Не пройшов
УДАР,1,4,Пинзеник Олеся Олександрівна,1386,одна тисяча триста вісімдесят шість,"2,42",У ТВО
Європейська солідарність,1,3,Таран Ірина Анатоліївна,1386,одна тисяча триста вісімдесят шість,"2,42",Не пройшов
Європейська солідарність,7,4,Ільницький Сергій Володимирович,1717,одна тисяча сімсот сімнадцять,"2,36",Не пройшов
Європейська солідарність,2,9,Супрун Олександр Сергійович,2253,дві тисячі двісті п'ятдесят три,"2,35",У ТВО
УДАР,8,5,Новицька Марія Володимирівна,636,шістсот тридцять шість,"2,35",Не пройшов
Перемога Пальчевського,4,1,Майзель Сергій Петрович,1090,одна тисяча дев'яносто,"2,33",Партія не пройшла
ОПЗЖ,10,1,Мамоян Сергій Чолоєвич,1000,одна тисяча,"2,33",Не пройшов
Європейська солідарність,12,4,Тимченко Олександр Сергійович,1724,одна тисяча сімсот двадцять чотири,"2,32",У ТВО
Батьківщина,3,1,Биструшкін Ярослав Олександрович,1067,одна тисяча шістдесят сім,"2,31",Не пройшов
Голос,8,1,Волошина Інна Вікторівна,625,шістсот двадцять п'ять,"2,31",Не пройшов
ОПЗЖ,6,1,Тменов Олександр Олександрович,981,дев'ятсот вісімдесят один,"2,3",Не пройшов
Перемога Пальчевського,12,1,Шкуро Максим Юрійович,1698,одна тисяча шістсот дев'яносто вісім,"2,29",Партія не пройшла
ОПЗЖ,3,1,Марчевський Артем Павлович,1059,одна тисяча п'ятдесят дев'ять,"2,29",Не пройшов
Єдність Олександра Омельченка,2,4,Кримчак Сергій Олександрович,2181,дві тисячі сто вісімдесят один,"2,28",Міський список
Слуга народу,7,10,Кузьменко Євген Андрійович,1660,одна тисяча шістсот шістдесят,"2,28",У ТВО
Єдність Олександра Омельченка,4,5,Куріннов Олександр Геннадійович,1065,одна тисяча шістдесят п'ять,"2,28",Не пройшов
УДАР,4,3,Ткаченко Тимур Фіруддінович,1059,одна тисяча п'ятдесят дев'ять,"2,27",Не пройшов
УДАР,5,1,Горбунов Ярослав Володимирович,975,дев'ятсот сімдесят п'ять,"2,27",Не пройшов
ОПЗЖ,5,2,Кириленко Ігор Іванович,970,дев'ятсот сімдесят,"2,26",Міський список
Європейська солідарність,11,3,Манжура Олександр Іванович,939,дев'ятсот тридцять дев'ять,"2,25",Не пройшов
УДАР,9,2,Брагінський Віктор Володимирович,1046,одна тисяча сорок шість,"2,23",У ТВО
УДАР,12,1,Кириченко Катерина Володимирівна,1625,одна тисяча шістсот двадцять п'ять,"2,19",У ТВО
Голос,13,1,Карнаухова Марія Дмитрівна,1228,одна тисяча двісті двадцять вісім,"2,19",Не пройшов
Перемога Пальчевського,5,1,Новіков Олексій Олександрович,940,дев'ятсот сорок,"2,19",Партія не пройшла
Перемога Пальчевського,10,1,Пабат Олександр Вікторович,931,дев'ятсот тридцять один,"2,17",Партія не пройшла
УДАР,1,8,Шовковський Олександр Володимирович,1240,одна тисяча двісті сорок,"2,16",Міський список
ОПЗЖ,12,1,Кравець Володимир Андрійович,1593,одна тисяча п'ятсот дев'яносто три,"2,14",У ТВО
Голос,9,1,Васильченко Дар’я Андріївна,993,дев'ятсот дев'яносто три,"2,12",Не пройшов
Європейська солідарність,4,3,Пташник Вікторія Юріївна,990,дев'ятсот дев'яносто,"2,12",Не пройшов
УДАР,2,6,Гончаров Олександр Володимирович,2007,дві тисячі сім,"2,1",У ТВО
Перемога Пальчевського,3,1,Онуфрійчук Вадим Михайлович,968,дев'ятсот шістдесят вісім,"2,1",Партія не пройшла
Слуга народу,9,1,Селик Віталій Григорович,980,дев'ятсот вісімдесят,"2,09",Не пройшов
Європейська солідарність,2,6,Задерейко Андрій Іванович,1992,одна тисяча дев'ятсот дев'яносто два,"2,08",У ТВО
Батьківщина,5,2,Березніков Олександр Іванович,891,вісімсот дев'яносто один,"2,07",Не пройшов
Слуга народу,10,1,Кисельов Олексій Володимирович,890,вісімсот дев'яносто,"2,07",Не пройшов
ОПЗЖ,9,1,Паламар Ігор Іванович,964,дев'ятсот шістдесят чотири,"2,06",Не пройшов
Голос,6,1,Медведенко Станіслав Юрійович,873,вісімсот сімдесят три,"2,05",Не пройшов
Єдність Олександра Омельченка,1,1,Шпак Ігор Вячеславович,1173,одна тисяча сто сімдесят три,"2,04",Міський список
Слуга народу,4,1,Мельничук Тарас Петрович,949,дев'ятсот сорок дев'ять,"2,03",Не пройшов
УДАР,4,1,Рябікін Павло Борисович,946,дев'ятсот сорок шість,"2,02",Не пройшов
Європейська солідарність,5,3,Мурашко Антоніна Миколаївна,858,вісімсот п'ятдесят вісім,2,Не пройшов
Єдність Олександра Омельченка,3,1,Ярмоленко Інна Олександрівна,912,дев'ятсот дванадцять,"1,98",Не пройшов
Батьківщина,10,2,Колодій Богдан Васильович,851,вісімсот п'ятдесят один,"1,98",Не пройшов
Батьківщина,6,1,Шаповал Анатолій Анатолійович,843,вісімсот сорок три,"1,98",Не пройшов
Слуга народу,2,2,Конопелько Микола Володимирович,1872,одна тисяча вісімсот сімдесят два,"1,95",У ТВО
Батьківщина,11,2,Якименко Наталія Миколаївна,799,сімсот дев'яносто дев'ять,"1,92",Не пройшов
Європейська солідарність,3,4,Романчук Тетяна Володимирівна,880,вісімсот вісімдесят,"1,91",Не пройшов
ОПЗЖ,1,2,Маломуж Сергій Володимирович,1060,одна тисяча шістдесят,"1,85",Не пройшов
ОПЗЖ,8,8,Волошин Богдан Андрійович,496,чотириста дев'яносто шість,"1,84",Не пройшов
Батьківщина,9,4,Кужель Олександра Володимирівна,856,вісімсот п'ятдесят шість,"1,83",Міський список
УДАР,13,10,Бондаренко Володимир Володимирович,1006,одна тисяча шість,"1,8",Міський список
ОПЗЖ,4,2,Царенко Михайло Олександрович,835,вісімсот тридцять п'ять,"1,79",Міський список
Партія Шарія,1,1,Бондаренко Алла Іванівна,1024,одна тисяча двадцять чотири,"1,78",Партія не пройшла
УДАР,3,4,Макогон Наталія Анатоліївна,820,вісімсот двадцять,"1,78",Не пройшов
Єдність Олександра Омельченка,3,8,Казаков Олександр Сергійович,817,вісімсот сімнадцять,"1,77",Не пройшов
Слуга народу,6,1,Палійчук Юлія Володимирівна,752,сімсот п'ятдесят два,"1,76",Не пройшов
Єдність Олександра Омельченка,11,3,Близниченко Яна Юріївна,735,сімсот тридцять п'ять,"1,76",Не пройшов
Батьківщина,11,1,Глімбовська Катерина Олександрівна,734,сімсот тридцять чотири,"1,76",Не пройшов
Слуга народу,7,2,Трубіцин Владислав Сергійович,1277,одна тисяча двісті сімдесят сім,"1,75",Міський список
Європейська солідарність,6,4,Руденко Ганна Василівна,746,сімсот сорок шість,"1,75",Не пройшов
Слуга народу,1,1,Богдан Ірина Миколаївна,997,дев'ятсот дев'яносто сім,"1,74",Не пройшов
УДАР,13,9,Ярова Євгенія Валентинівна,971,дев'ятсот сімдесят один,"1,73",Не пройшов
ОПЗЖ,7,2,Ахметов Рустем Сафіуллович,1254,одна тисяча двісті п'ятдесят чотири,"1,72",У ТВО
УДАР,4,7,Ганноха Богдан Ігорович,803,вісімсот три,"1,72",Не пройшов
Свобода,4,3,Кузик Петро Миколайович,798,сімсот дев'яносто вісім,"1,71",Партія не пройшла
Батьківщина,5,1,Онофрійчук Петро Васильович,733,сімсот тридцять три,"1,7",Не пройшов
ОПЗЖ,2,2,Рубєжова Анжеліка Олександрівна,1620,одна тисяча шістсот двадцять,"1,69",Не пройшов
Свобода,4,2,Картавий Іван Леонідович,791,сімсот дев'яносто один,"1,69",Партія не пройшла
Партія Шарія,2,1,Рибін Валентин Володимирович,1600,одна тисяча шістсот,"1,67",Партія не пройшла
Голос,5,1,Лінчевський Олександр Володимирович,719,сімсот дев'ятнадцять,"1,67",Міський список
Свобода,13,1,Бенюк Богдан Михайлович,931,дев'ятсот тридцять один,"1,66",Партія не пройшла
Голос,4,1,Михайлова Аліна Артурівна,777,сімсот сімдесят сім,"1,66",Міський список
Слуга народу,5,7,Казаніков Максим Олександрович,715,сімсот п'ятнадцять,"1,66",Не пройшов
Слуга народу,7,1,Вандін Євгеній Валерійович,1187,одна тисяча сто вісімдесят сім,"1,63",Не пройшов
Голос,11,1,Стельмашов Артем Кирилович,676,шістсот сімдесят шість,"1,62",Не пройшов
Єдність Олександра Омельченка,7,2,Скиба Юрій Миколайович,1160,одна тисяча сто шістдесят,"1,59",Не пройшов
УДАР,4,6,Білозір Андрій Ігорович,745,сімсот сорок п'ять,"1,59",Не пройшов
Партія Шарія,9,1,Кучер Дмитро Юрійович,744,сімсот сорок чотири,"1,59",Партія не пройшла
УДАР,10,5,Білоцерковець Дмитро Олександрович,684,шістсот вісімдесят чотири,"1,59",Міський список
УДАР,10,6,Савченко Ірина Володимирівна,677,шістсот сімдесят сім,"1,58",Не пройшов
Батьківщина,2,1,Слончак Володимир Вікторович,1509,одна тисяча п'ятсот дев'ять,"1,57",У ТВО
Перемога Пальчевського,9,1,Дрепін Антон Вікторович,736,сімсот тридцять шість,"1,57",Партія не пройшла
УДАР,12,5,Ратушний Роман Тарасович,1162,одна тисяча сто шістдесят два,"1,56",Не пройшов
Слуга народу,12,4,Кравчишин Ігор Олексійович,1139,одна тисяча сто тридцять дев'ять,"1,53",Не пройшов
Єдність Олександра Омельченка,4,1,Гладиш Лідія Сергіївна,717,сімсот сімнадцять,"1,53",Не пройшов
Голос,12,1,Трегубов Едуард Леонідович,1110,одна тисяча сто десять,"1,49",Не пройшов
Партія Шарія,8,1,Голинський Євген Ігорович,402,чотириста два,"1,49",Партія не пройшла
Європейська солідарність,6,2,Кононенко Віктор Іонасович,628,шістсот двадцять вісім,"1,47",Міський список
Єдність Олександра Омельченка,2,3,Ярмоленко Юлія Олександрівна,1402,одна тисяча чотириста два,"1,46",Міський список
ОПЗЖ,9,2,Фролова Юлія Володимирівна,684,шістсот вісімдесят чотири,"1,46",Не пройшов
Голос,3,1,Крамаренко Валерій Геннадійович,675,шістсот сімдесят п'ять,"1,46",Не пройшов
УДАР,10,2,Чернецький Микола Владиславович,627,шістсот двадцять сім,"1,46",Не пройшов
Єдність Олександра Омельченка,7,1,Веремеєнко Ольга Леонідівна,1055,одна тисяча п'ятдесят п'ять,"1,45",У ТВО
Європейська солідарність,12,3,Голуб Руслан Петрович,1074,одна тисяча сімдесят чотири,"1,44",Не пройшов
Єдність Олександра Омельченка,12,7,Собченко Костянтин Анатолійович,1071,одна тисяча сімдесят один,"1,44",Не пройшов
ОПЗЖ,7,1,Максіменцева Надія Олександрівна,1045,одна тисяча сорок п'ять,"1,43",Не пройшов
ОПЗЖ,1,1,Голубовський Любомир Зіновійович,809,вісімсот дев'ять,"1,41",Не пройшов
Слуга народу,11,3,Пономаренко Андрій Володимирович,590,п'ятсот дев'яносто,"1,41",Не пройшов
Слуга народу,10,2,Богдан Дмитро Іванович,603,шістсот три,"1,4",Не пройшов
Голос,2,1,Васильчук Вадим Васильович,1334,одна тисяча триста тридцять чотири,"1,39",У ТВО
Партія Шарія,13,1,Гуменюк Валерія Леонідівна,781,сімсот вісімдесят один,"1,39",Партія не пройшла
Голос,7,1,Богатов Костянтин Володимирович,1006,одна тисяча шість,"1,38",Міський список
Партія Шарія,4,1,Поповський Володимир Анатолійович,638,шістсот тридцять вісім,"1,36",Партія не пройшла
УДАР,11,2,Каретко Володимир Олександрович,566,п'ятсот шістдесят шість,"1,36",Не пройшов
Європейська солідарність,12,8,Волошин Олександр Миколайович,1003,одна тисяча три,"1,35",Не пройшов
Партія Шарія,7,1,Афанасьєв Микола Олександрович,986,дев'ятсот вісімдесят шість,"1,35",Партія не пройшла
УДАР,9,5,Джулай Наталія Олександрівна,631,шістсот тридцять один,"1,35",Не пройшов
Європейська солідарність,13,4,Шатохіна Ірина Володимирівна,749,сімсот сорок дев'ять,"1,34",Не пройшов
Європейська солідарність,3,2,Усов Костянтин Глібович,619,шістсот дев'ятнадцять,"1,34",Міський список
Європейська солідарність,10,4,Озерова Марина Станіславівна,577,п'ятсот сімдесят сім,"1,34",Не пройшов
Партія Шарія,12,1,Дзюбенко Сергій Анатолійович,993,дев'ятсот дев'яносто три,"1,33",Партія не пройшла
УДАР,12,4,Шевченко Наталія Дмитрівна,987,дев'ятсот вісімдесят сім,"1,33",Не пройшов
Сила і честь,11,1,Гончаренко Олександр Юрійович,553,п'ятсот п'ятдесят три,"1,32",Партія не пройшла
Європейська солідарність,12,2,Тихонович Юрій Станіславович,964,дев'ятсот шістдесят чотири,"1,3",Не пройшов
УДАР,9,4,Лялька Юлія Михайлівна,606,шістсот шість,"1,29",Не пройшов
Слуга народу,13,1,Шацьких Володимир Володимирович,709,сімсот дев'ять,"1,27",Не пройшов
Європейська солідарність,8,5,Завадська Катерина Валентинівна,343,триста сорок три,"1,27",Не пройшов
ОПЗЖ,4,3,Кузнецова Марина Юріївна,591,п'ятсот дев'яносто один,"1,26",Не пройшов
Голос,13,2,Колесник Роман Андрійович,701,сімсот один,"1,25",Не пройшов
Європейська солідарність,5,4,Федорченко Микола Андрійович,540,п'ятсот сорок,"1,25",Не пройшов
Слуга народу,12,1,Семенова Ксенія Ігорівна,926,дев'ятсот двадцять шість,"1,24",У ТВО
ОПЗЖ,6,5,Михальченко Олексій Анатолійович,532,п'ятсот тридцять два,"1,24",Не пройшов
УДАР,5,5,Хонда Марина Петрівна,532,п'ятсот тридцять два,"1,24",Не пройшов
Слуга народу,11,1,Зантарая Георгій Малхазович,519,п'ятсот дев'ятнадцять,"1,24",Міський список
Демократична сокира,7,1,Трегубов Віктор Аркадійович,899,вісімсот дев'яносто дев'ять,"1,23",Партія не пройшла
Батьківщина,7,3,Поживанов Олександр Михайлович,896,вісімсот дев'яносто шість,"1,23",Не пройшов
Свобода,9,1,Мельник Михайло Григорович,577,п'ятсот сімдесят сім,"1,23",Партія не пройшла
Слуга народу,9,5,Юхименко Вікторія Василівна,575,п'ятсот сімдесят п'ять,"1,23",Не пройшов
Європейська солідарність,10,10,Кушніренко Олег Іванович,530,п'ятсот тридцять,"1,23",Не пройшов
ОПЗЖ,10,2,Маркова Тетяна Леонідівна,529,п'ятсот двадцять дев'ять,"1,23",Не пройшов
Сила і честь,8,1,Новак Інна Віліївна,333,триста тридцять три,"1,23",Партія не пройшла
УДАР,12,6,Броневицький Сергій Петрович,910,дев'ятсот десять,"1,22",Не пройшов
Єдність Олександра Омельченка,4,8,Ткаченко Максим Володимирович,569,п'ятсот шістдесят дев'ять,"1,21",Не пройшов
УДАР,7,8,Мурза Олександр Олегович,867,вісімсот шістдесят сім,"1,19",Не пройшов
Слуга народу,10,4,Андрієвська Евеліна Геннадіївна,510,п'ятсот десять,"1,19",Не пройшов
Європейська солідарність,10,6,Антоненко Ольга Іванівна,510,п'ятсот десять,"1,19",Не пройшов
Єдність Олександра Омельченка,2,7,Топчій Вячеслав Віталійович,1136,одна тисяча сто тридцять шість,"1,18",Не пройшов
УДАР,9,8,Крикун Арсен Євгенович,553,п'ятсот п'ятдесят три,"1,18",Не пройшов
Європейська солідарність,3,6,Левченко Денис Андрійович,545,п'ятсот сорок п'ять,"1,18",Не пройшов
Сила і честь,7,1,Гордієнко Василь Павлович,855,вісімсот п'ятдесят п'ять,"1,17",Партія не пройшла
Європейська солідарність,9,3,Бойченко Павло Іванович,547,п'ятсот сорок сім,"1,17",Міський список
Партія Шарія,10,1,Лукашевич Антон Сергійович,504,п'ятсот чотири,"1,17",Партія не пройшла
Слуга народу,6,3,Присяжнюк Мар’яна Миколаївна,502,п'ятсот два,"1,17",Не пройшов
УДАР,11,7,Ткачук Роман Станіславович,489,чотириста вісімдесят дев'ять,"1,17",Не пройшов
Голос,10,1,Попатенко Василь Сергійович,500,п'ятсот,"1,16",Міський список
Європейська солідарність,13,5,Зубко Данило Васильович,647,шістсот сорок сім,"1,15",Не пройшов
УДАР,13,4,Соловйова Марина Михайлівна,644,шістсот сорок чотири,"1,15",Не пройшов
Партія Шарія,6,1,Ровенський Антон Євгенович,489,чотириста вісімдесят дев'ять,"1,14",Партія не пройшла
УДАР,2,12,Чермак Ігор Іванович,1084,одна тисяча вісімдесят чотири,"1,13",Не пройшов
Єдність Олександра Омельченка,12,2,Марієнко Василь Григорович,843,вісімсот сорок три,"1,13",Не пройшов
Партія Шарія,11,1,Жук Станіслав Анатолійович,472,чотириста сімдесят два,"1,13",Партія не пройшла
Єдність Олександра Омельченка,7,4,Крамаренко Олег Віталійович,817,вісімсот сімнадцять,"1,12",Не пройшов
УДАР,7,5,Авраменко Євгенія Петрівна,808,вісімсот вісім,"1,11",Не пройшов
УДАР,9,3,Домагальський Віктор Миколайович,522,п'ятсот двадцять два,"1,11",Не пройшов
Партія Шарія,5,1,Логвін Артем Сергійович,479,чотириста сімдесят дев'ять,"1,11",Партія не пройшла
Свобода,5,1,Матвійчук Ольга Вікторівна,475,чотириста сімдесят п'ять,"1,1",Партія не пройшла
Слуга народу,5,1,Сітак Олександр Володимирович,475,чотириста сімдесят п'ять,"1,1",Не пройшов
ОПЗЖ,6,2,Уласик Юлія Олександрівна,470,чотириста сімдесят,"1,1",Міський список
Єдність Олександра Омельченка,3,6,Кулаковський Максим Юрійович,505,п'ятсот п'ять,"1,09",Не пройшов
Партія Шарія,3,1,Мусійченко Микола Георгійович,504,п'ятсот чотири,"1,09",Партія не пройшла
Європейська солідарність,6,3,Батюков Андрій Володимирович,464,чотириста шістдесят чотири,"1,09",Не пройшов
